ts,anchor,mac,distance_m,rssi
1768293169.4039395,A3,4e:e1:89:3a:bf:87,0.5,-65
1768293170.3209546,A3,4e:e1:89:3a:bf:87,0.5,-59
1768293171.5306852,A3,4e:e1:89:3a:bf:87,0.5,-58
1768293172.486064,A3,4e:e1:89:3a:bf:87,0.5,-57
1768293173.579695,A3,4e:e1:89:3a:bf:87,0.5,-55
1768293174.620814,A3,4e:e1:89:3a:bf:87,0.5,-47
1768293175.622756,A3,4e:e1:89:3a:bf:87,0.5,-47
1768293176.695784,A3,4e:e1:89:3a:bf:87,0.5,-48
1768293177.7877243,A3,4e:e1:89:3a:bf:87,0.5,-47
1768293178.690491,A3,4e:e1:89:3a:bf:87,0.5,-47
1768293179.6512282,A3,4e:e1:89:3a:bf:87,0.5,-61
1768293180.6752412,A3,4e:e1:89:3a:bf:87,0.5,-60
1768293181.6877456,A3,4e:e1:89:3a:bf:87,0.5,-59
1768293182.8342662,A3,4e:e1:89:3a:bf:87,0.5,-59
1768293183.920639,A3,4e:e1:89:3a:bf:87,0.5,-60
1768293184.875354,A3,4e:e1:89:3a:bf:87,0.5,-67
1768293185.975445,A3,4e:e1:89:3a:bf:87,0.5,-65
1768293187.0587566,A3,4e:e1:89:3a:bf:87,0.5,-64
1768293188.114126,A3,4e:e1:89:3a:bf:87,0.5,-64
1768293189.0726376,A3,4e:e1:89:3a:bf:87,0.5,-63
1768293204.6436887,A3,76:e2:b2:b7:2b:41,1,-77
1768293205.6508808,A3,76:e2:b2:b7:2b:41,1,-76
1768293206.6864755,A3,76:e2:b2:b7:2b:41,1,-76
1768293207.7537634,A3,76:e2:b2:b7:2b:41,1,-76
1768293208.7337384,A3,76:e2:b2:b7:2b:41,1,-76
1768293209.745219,A3,76:e2:b2:b7:2b:41,1,-75
1768293210.9266589,A3,76:e2:b2:b7:2b:41,1,-75
1768293211.9852123,A3,76:e2:b2:b7:2b:41,1,-76
1768293212.9987748,A3,76:e2:b2:b7:2b:41,1,-75
1768293214.0369418,A3,76:e2:b2:b7:2b:41,1,-75
1768293214.980205,A3,76:e2:b2:b7:2b:41,1,-76
1768293216.087882,A3,76:e2:b2:b7:2b:41,1,-76
1768293217.0296342,A3,76:e2:b2:b7:2b:41,1,-91
1768293218.060504,A3,76:e2:b2:b7:2b:41,1,-76
1768293219.0656767,A3,76:e2:b2:b7:2b:41,1,-77
1768293220.17765,A3,76:e2:b2:b7:2b:41,1,-76
1768293221.1253507,A3,76:e2:b2:b7:2b:41,1,-75
1768293222.2331572,A3,76:e2:b2:b7:2b:41,1,-75
1768293223.3164406,A3,76:e2:b2:b7:2b:41,1,-75
1768293224.3030539,A3,76:e2:b2:b7:2b:41,1,-81
1768293233.7887037,A3,76:e2:b2:b7:2b:41,2,-77
1768293234.882439,A3,76:e2:b2:b7:2b:41,2,-76
1768293235.7572987,A3,76:e2:b2:b7:2b:41,2,-75
1768293236.9261098,A3,76:e2:b2:b7:2b:41,2,-77
1768293237.9859798,A3,76:e2:b2:b7:2b:41,2,-80
1768293238.9428668,A3,76:e2:b2:b7:2b:41,2,-80
1768293240.0522437,A3,76:e2:b2:b7:2b:41,2,-76
1768293240.9834228,A3,76:e2:b2:b7:2b:41,2,-75
1768293242.200828,A3,76:e2:b2:b7:2b:41,2,-74
1768293243.1512127,A3,76:e2:b2:b7:2b:41,2,-78
1768293244.2528498,A3,76:e2:b2:b7:2b:41,2,-75
1768293245.241518,A3,76:e2:b2:b7:2b:41,2,-75
1768293246.2885158,A3,76:e2:b2:b7:2b:41,2,-76
1768293247.2249393,A3,76:e2:b2:b7:2b:41,2,-76
1768293248.3965883,A3,76:e2:b2:b7:2b:41,2,-78
1768293249.3961308,A3,76:e2:b2:b7:2b:41,2,-80
1768293250.4128902,A3,76:e2:b2:b7:2b:41,2,-80
1768293251.517841,A3,76:e2:b2:b7:2b:41,2,-85
1768293252.5889616,A3,76:e2:b2:b7:2b:41,2,-82
1768293253.5950356,A3,76:e2:b2:b7:2b:41,2,-81
1768293263.074702,A3,76:e2:b2:b7:2b:41,3,-92
1768293264.033427,A3,76:e2:b2:b7:2b:41,3,-89
1768293265.0487072,A3,76:e2:b2:b7:2b:41,3,-87
1768293266.257372,A3,76:e2:b2:b7:2b:41,3,-85
1768293267.2276864,A3,76:e2:b2:b7:2b:41,3,-89
1768293268.3140259,A3,76:e2:b2:b7:2b:41,3,-88
1768293269.3438838,A3,76:e2:b2:b7:2b:41,3,-91
1768293270.2673876,A3,76:e2:b2:b7:2b:41,3,-88
1768293271.4309285,A3,76:e2:b2:b7:2b:41,3,-90
1768293272.4339297,A3,76:e2:b2:b7:2b:41,3,-88
1768293273.456891,A3,76:e2:b2:b7:2b:41,3,-88
1768293274.476435,A3,76:e2:b2:b7:2b:41,3,-88
1768293275.6191177,A3,76:e2:b2:b7:2b:41,3,-90
1768293276.6447787,A3,76:e2:b2:b7:2b:41,3,-91
1768293277.6534123,A3,76:e2:b2:b7:2b:41,3,-92
1768293278.6643288,A3,76:e2:b2:b7:2b:41,3,-93
1768293279.8762524,A3,76:e2:b2:b7:2b:41,3,-92
1768293280.8360538,A3,76:e2:b2:b7:2b:41,3,-90
1768293281.9279745,A3,76:e2:b2:b7:2b:41,3,-90
1768293282.8755789,A3,76:e2:b2:b7:2b:41,3,-91
