ts,anchor,mac,distance_m,rssi
1768289977,A1,67:94:a6:7d:20:f0,0.5,-61
1768289978,A1,67:94:a6:7d:20:f0,0.5,-59
1768289979,A1,67:94:a6:7d:20:f0,0.5,-59
1768289980,A1,67:94:a6:7d:20:f0,0.5,-59
1768289981,A1,67:94:a6:7d:20:f0,0.5,-59
1768289983,A1,67:94:a6:7d:20:f0,0.5,-59
1768289984,A1,67:94:a6:7d:20:f0,0.5,-61
1768289985,A1,67:94:a6:7d:20:f0,0.5,-60
1768289986,A1,67:94:a6:7d:20:f0,0.5,-59
1768289987,A1,67:94:a6:7d:20:f0,0.5,-60
1768289988,A1,67:94:a6:7d:20:f0,0.5,-61
1768289989,A1,67:94:a6:7d:20:f0,0.5,-59
1768289990,A1,67:94:a6:7d:20:f0,0.5,-59
1768289991,A1,67:94:a6:7d:20:f0,0.5,-59
1768289992,A1,67:94:a6:7d:20:f0,0.5,-59
1768289993,A1,67:94:a6:7d:20:f0,0.5,-60
1768289994,A1,67:94:a6:7d:20:f0,0.5,-60
1768289995,A1,67:94:a6:7d:20:f0,0.5,-59
1768289996,A1,67:94:a6:7d:20:f0,0.5,-59
1768289997,A1,67:94:a6:7d:20:f0,0.5,-61
1768289998,A1,67:94:a6:7d:20:f0,0.5,-61
1768289999,A1,67:94:a6:7d:20:f0,0.5,-58
1768290000,A1,67:94:a6:7d:20:f0,0.5,-58
1768290001,A1,67:94:a6:7d:20:f0,0.5,-56
1768290002,A1,67:94:a6:7d:20:f0,0.5,-58
1768290004,A1,67:94:a6:7d:20:f0,0.5,-59
1768290005,A1,67:94:a6:7d:20:f0,0.5,-59
1768290006,A1,67:94:a6:7d:20:f0,0.5,-56
1768290007,A1,67:94:a6:7d:20:f0,0.5,-57
1768290008,A1,67:94:a6:7d:20:f0,0.5,-56
1768290009,A1,67:94:a6:7d:20:f0,0.5,-58
1768290010,A1,67:94:a6:7d:20:f0,0.5,-59
1768290011,A1,67:94:a6:7d:20:f0,0.5,-60
1768290012,A1,67:94:a6:7d:20:f0,0.5,-60
1768290043,A1,67:94:a6:7d:20:f0,1,-71
1768290044,A1,67:94:a6:7d:20:f0,1,-72
1768290045,A1,67:94:a6:7d:20:f0,1,-70
1768290046,A1,67:94:a6:7d:20:f0,1,-69
1768290048,A1,67:94:a6:7d:20:f0,1,-72
1768290049,A1,67:94:a6:7d:20:f0,1,-72
1768290050,A1,67:94:a6:7d:20:f0,1,-70
1768290051,A1,67:94:a6:7d:20:f0,1,-71
1768290052,A1,67:94:a6:7d:20:f0,1,-71
1768290053,A1,67:94:a6:7d:20:f0,1,-71
1768290054,A1,67:94:a6:7d:20:f0,1,-71
1768290055,A1,67:94:a6:7d:20:f0,1,-70
1768290056,A1,67:94:a6:7d:20:f0,1,-70
1768290057,A1,67:94:a6:7d:20:f0,1,-73
1768290058,A1,67:94:a6:7d:20:f0,1,-69
1768290059,A1,67:94:a6:7d:20:f0,1,-70
1768290060,A1,67:94:a6:7d:20:f0,1,-75
1768290061,A1,67:94:a6:7d:20:f0,1,-70
1768290062,A1,67:94:a6:7d:20:f0,1,-67
1768290063,A1,67:94:a6:7d:20:f0,1,-72
1768290064,A1,67:94:a6:7d:20:f0,1,-69
1768290065,A1,67:94:a6:7d:20:f0,1,-68
1768290066,A1,67:94:a6:7d:20:f0,1,-68
1768290067,A1,67:94:a6:7d:20:f0,1,-67
1768290068,A1,67:94:a6:7d:20:f0,1,-67
1768290069,A1,67:94:a6:7d:20:f0,1,-67
1768290070,A1,67:94:a6:7d:20:f0,1,-72
1768290391,A1,5f:d9:b7:00:e6:35,2,-70
1768290393,A1,5f:d9:b7:00:e6:35,2,-75
1768290393,A1,5f:d9:b7:00:e6:35,2,-75
1768290394,A1,5f:d9:b7:00:e6:35,2,-78
1768290395,A1,5f:d9:b7:00:e6:35,2,-80
1768290396,A1,5f:d9:b7:00:e6:35,2,-82
1768290397,A1,5f:d9:b7:00:e6:35,2,-81
1768290398,A1,5f:d9:b7:00:e6:35,2,-78
1768290399,A1,5f:d9:b7:00:e6:35,2,-76
1768290400,A1,5f:d9:b7:00:e6:35,2,-77
1768290401,A1,5f:d9:b7:00:e6:35,2,-79
1768290402,A1,5f:d9:b7:00:e6:35,2,-79
1768290403,A1,5f:d9:b7:00:e6:35,2,-78
1768290404,A1,5f:d9:b7:00:e6:35,2,-81
1768290405,A1,5f:d9:b7:00:e6:35,2,-70
1768290406,A1,5f:d9:b7:00:e6:35,2,-74
1768290407,A1,5f:d9:b7:00:e6:35,2,-71
1768290409,A1,5f:d9:b7:00:e6:35,2,-74
1768290410,A1,5f:d9:b7:00:e6:35,2,-75
1768290411,A1,5f:d9:b7:00:e6:35,2,-73
1768290412,A1,5f:d9:b7:00:e6:35,2,-77
1768290413,A1,5f:d9:b7:00:e6:35,2,-72
1768290416,A1,5f:d9:b7:00:e6:35,2,-73
1768290416,A1,5f:d9:b7:00:e6:35,2,-79
1768290416,A1,5f:d9:b7:00:e6:35,2,-78
1768290417,A1,5f:d9:b7:00:e6:35,2,-85
1768290418,A1,5f:d9:b7:00:e6:35,2,-90
1768290419,A1,5f:d9:b7:00:e6:35,2,-78
1768290420,A1,5f:d9:b7:00:e6:35,2,-80
1768290421,A1,5f:d9:b7:00:e6:35,2,-79
1768290422,A1,5f:d9:b7:00:e6:35,2,-79
1768290423,A1,5f:d9:b7:00:e6:35,2,-77
1768290424,A1,5f:d9:b7:00:e6:35,2,-81
1768290425,A1,5f:d9:b7:00:e6:35,2,-78
1768290426,A1,5f:d9:b7:00:e6:35,2,-79
1768290427,A1,5f:d9:b7:00:e6:35,2,-83
1768290428,A1,5f:d9:b7:00:e6:35,2,-84
1768290429,A1,5f:d9:b7:00:e6:35,2,-81
1768290430,A1,5f:d9:b7:00:e6:35,2,-79
1768290431,A1,5f:d9:b7:00:e6:35,2,-77
1768290432,A1,5f:d9:b7:00:e6:35,2,-81
1768290433,A1,5f:d9:b7:00:e6:35,2,-79
1768290435,A1,5f:d9:b7:00:e6:35,2,-80
1768290435,A1,5f:d9:b7:00:e6:35,2,-77
1768290436,A1,5f:d9:b7:00:e6:35,2,-81
1768290438,A1,7e:e5:e7:fd:8f:00,2,-80
