ts,anchor,mac,distance_m,rssi
1768292803.6246147,A2,5c:8f:df:35:50:dd,1,-81
1768292804.6482162,A2,5c:8f:df:35:50:dd,1,-71
1768292805.6796365,A2,5c:8f:df:35:50:dd,1,-72
1768292806.6924214,A2,5c:8f:df:35:50:dd,1,-74
1768292807.72065,A2,5c:8f:df:35:50:dd,1,-75
1768292809.8495154,A2,5c:8f:df:35:50:dd,1,-74
1768292810.7685435,A2,5c:8f:df:35:50:dd,1,-66
1768292811.8209236,A2,5c:8f:df:35:50:dd,1,-68
1768292812.8415,A2,5c:8f:df:35:50:dd,1,-66
1768292814.5198839,A2,5c:8f:df:35:50:dd,1,-70
1768292815.2068794,A2,5c:8f:df:35:50:dd,1,-71
1768292816.2914138,A2,5c:8f:df:35:50:dd,1,-75
1768292817.0399675,A2,5c:8f:df:35:50:dd,1,-85
1768292818.0544658,A2,5c:8f:df:35:50:dd,1,-72
1768292819.087322,A2,5c:8f:df:35:50:dd,1,-71
1768292820.111287,A2,5c:8f:df:35:50:dd,1,-71
1768292821.1299624,A2,5c:8f:df:35:50:dd,1,-68
1768292822.2346654,A2,5c:8f:df:35:50:dd,1,-67
1768292823.1862864,A2,5c:8f:df:35:50:dd,1,-67
1768292824.2950654,A2,5c:8f:df:35:50:dd,1,-72
1768292845.3147912,A2,5c:8f:df:35:50:dd,0.5,-65
1768292846.3750513,A2,5c:8f:df:35:50:dd,0.5,-66
1768292847.249434,A2,5c:8f:df:35:50:dd,0.5,-67
1768292848.2642186,A2,5c:8f:df:35:50:dd,0.5,-65
1768292849.2974346,A2,5c:8f:df:35:50:dd,0.5,-66
1768292850.4178224,A2,5c:8f:df:35:50:dd,0.5,-67
1768292851.4714465,A2,5c:8f:df:35:50:dd,0.5,-65
1768292852.830262,A2,5c:8f:df:35:50:dd,0.5,-65
1768292853.495925,A2,5c:8f:df:35:50:dd,0.5,-66
1768292854.5149379,A2,5c:8f:df:35:50:dd,0.5,-66
1768292855.6773827,A2,5c:8f:df:35:50:dd,0.5,-65
1768292856.672988,A2,5c:8f:df:35:50:dd,0.5,-71
1768292857.6989882,A2,5c:8f:df:35:50:dd,0.5,-67
1768292858.7996118,A2,5c:8f:df:35:50:dd,0.5,-68
1768292859.7367861,A2,5c:8f:df:35:50:dd,0.5,-65
1768292860.8789227,A2,5c:8f:df:35:50:dd,0.5,-72
1768292861.964182,A2,4e:e1:89:3a:bf:87,0.5,-66
1768292862.9208183,A2,4e:e1:89:3a:bf:87,0.5,-66
1768292863.9343357,A2,4e:e1:89:3a:bf:87,0.5,-70
1768292865.021756,A2,4e:e1:89:3a:bf:87,0.5,-65
1768292986.1087122,A2,4e:e1:89:3a:bf:87,2,-87
1768292987.1206295,A2,4e:e1:89:3a:bf:87,2,-92
1768292988.2689803,A2,4e:e1:89:3a:bf:87,2,-88
1768292989.3526711,A2,4e:e1:89:3a:bf:87,2,-86
1768292990.3066912,A2,4e:e1:89:3a:bf:87,2,-88
1768292991.384943,A2,4e:e1:89:3a:bf:87,2,-88
1768292992.3430874,A2,4e:e1:89:3a:bf:87,2,-80
1768292993.4998646,A2,4e:e1:89:3a:bf:87,2,-80
1768292994.508107,A2,4e:e1:89:3a:bf:87,2,-89
1768292995.529228,A2,4e:e1:89:3a:bf:87,2,-81
1768292997.3992941,A2,4e:e1:89:3a:bf:87,2,-81
1768292997.7030103,A2,4e:e1:89:3a:bf:87,2,-82
1768292999.1980748,A2,4e:e1:89:3a:bf:87,2,-83
1768292999.7278666,A2,4e:e1:89:3a:bf:87,2,-82
1768293000.7544432,A2,4e:e1:89:3a:bf:87,2,-83
1768293001.832946,A2,4e:e1:89:3a:bf:87,2,-82
1768293003.1121898,A2,4e:e1:89:3a:bf:87,2,-82
1768293003.929806,A2,4e:e1:89:3a:bf:87,2,-82
1768293005.1288848,A2,4e:e1:89:3a:bf:87,2,-85
1768293005.962602,A2,4e:e1:89:3a:bf:87,2,-83
1768293017.5686789,A2,4e:e1:89:3a:bf:87,3,-90
1768293018.8016796,A2,4e:e1:89:3a:bf:87,3,-90
1768293019.594635,A2,4e:e1:89:3a:bf:87,3,-89
1768293020.6066003,A2,4e:e1:89:3a:bf:87,3,-89
1768293021.932092,A2,4e:e1:89:3a:bf:87,3,-92
1768293022.772523,A2,4e:e1:89:3a:bf:87,3,-90
1768293023.7933245,A2,4e:e1:89:3a:bf:87,3,-90
1768293024.8111317,A2,4e:e1:89:3a:bf:87,3,-89
1768293026.0411851,A2,4e:e1:89:3a:bf:87,3,-93
1768293027.5247705,A2,4e:e1:89:3a:bf:87,3,-93
1768293027.9920309,A2,4e:e1:89:3a:bf:87,3,-94
1768293029.4974794,A2,4e:e1:89:3a:bf:87,3,-93
1768293030.1741204,A2,4e:e1:89:3a:bf:87,3,-95
1768293031.5127542,A2,4e:e1:89:3a:bf:87,3,-94
1768293032.1898487,A2,4e:e1:89:3a:bf:87,3,-89
1768293033.5021825,A2,4e:e1:89:3a:bf:87,3,-92
1768293034.228281,A2,4e:e1:89:3a:bf:87,3,-92
1768293035.3797207,A2,4e:e1:89:3a:bf:87,3,-89
1768293036.3910978,A2,4e:e1:89:3a:bf:87,3,-91
1768293037.635902,A2,4e:e1:89:3a:bf:87,3,-92
