ts,anchor,mac,distance_m,rssi
1766473828,A2,60:36:51:f7:21:1d,0.5,-64
1766473829,A2,60:36:51:f7:21:1d,0.5,-65
1766473830,A2,60:36:51:f7:21:1d,0.5,-65
1766473831,A2,60:36:51:f7:21:1d,0.5,-64
1766473832,A2,60:36:51:f7:21:1d,0.5,-65
1766473833,A2,60:36:51:f7:21:1d,0.5,-64
1766473834,A2,60:36:51:f7:21:1d,0.5,-64
1766473835,A2,60:36:51:f7:21:1d,0.5,-63
1766473836,A2,60:36:51:f7:21:1d,0.5,-63
1766473837,A2,60:36:51:f7:21:1d,0.5,-64
1766473838,A2,60:36:51:f7:21:1d,0.5,-71
1766473839,A2,60:36:51:f7:21:1d,0.5,-64
1766473840,A2,60:36:51:f7:21:1d,0.5,-65
1766473842,A2,60:36:51:f7:21:1d,0.5,-65
1766473842,A2,60:36:51:f7:21:1d,0.5,-67
1766473844,A2,60:36:51:f7:21:1d,0.5,-65
1766473844,A2,60:36:51:f7:21:1d,0.5,-66
1766473845,A2,60:36:51:f7:21:1d,0.5,-65
1766473846,A2,60:36:51:f7:21:1d,0.5,-67
1766473848,A2,60:36:51:f7:21:1d,0.5,-66
1766473849,A2,60:36:51:f7:21:1d,0.5,-67
1766473850,A2,60:36:51:f7:21:1d,0.5,-66
1766473851,A2,60:36:51:f7:21:1d,0.5,-63
1766473852,A2,60:36:51:f7:21:1d,0.5,-64
1766473853,A2,60:36:51:f7:21:1d,0.5,-65
1766473854,A2,60:36:51:f7:21:1d,0.5,-64
1766473855,A2,60:36:51:f7:21:1d,0.5,-64
1766473856,A2,60:36:51:f7:21:1d,0.5,-65
1766473857,A2,60:36:51:f7:21:1d,0.5,-65
1766473858,A2,60:36:51:f7:21:1d,0.5,-65
1766473859,A2,60:36:51:f7:21:1d,0.5,-66
1766473860,A2,60:36:51:f7:21:1d,0.5,-65
1766473861,A2,60:36:51:f7:21:1d,0.5,-64
1766473862,A2,60:36:51:f7:21:1d,0.5,-63
1766473864,A2,60:36:51:f7:21:1d,0.5,-63
1766473864,A2,60:36:51:f7:21:1d,0.5,-63
1766473865,A2,60:36:51:f7:21:1d,0.5,-63
1766473867,A2,60:36:51:f7:21:1d,0.5,-63
1766473867,A2,60:36:51:f7:21:1d,0.5,-65
1766473868,A2,60:36:51:f7:21:1d,0.5,-65
1766473928,A2,60:36:51:f7:21:1d,1,-65
1766473929,A2,60:36:51:f7:21:1d,1,-68
1766473930,A2,60:36:51:f7:21:1d,1,-65
1766473931,A2,60:36:51:f7:21:1d,1,-66
1766473932,A2,60:36:51:f7:21:1d,1,-67
1766473933,A2,60:36:51:f7:21:1d,1,-74
1766473934,A2,60:36:51:f7:21:1d,1,-67
1766473935,A2,60:36:51:f7:21:1d,1,-66
1766473936,A2,60:36:51:f7:21:1d,1,-66
1766473937,A2,60:36:51:f7:21:1d,1,-66
1766473938,A2,60:36:51:f7:21:1d,1,-67
1766473939,A2,60:36:51:f7:21:1d,1,-66
1766473940,A2,60:36:51:f7:21:1d,1,-66
1766473941,A2,60:36:51:f7:21:1d,1,-64
1766473942,A2,60:36:51:f7:21:1d,1,-65
1766473943,A2,60:36:51:f7:21:1d,1,-65
1766473945,A2,60:36:51:f7:21:1d,1,-65
1766473945,A2,60:36:51:f7:21:1d,1,-68
1766473946,A2,60:36:51:f7:21:1d,1,-65
1766473948,A2,60:36:51:f7:21:1d,1,-64
1766473949,A2,60:36:51:f7:21:1d,1,-65
1766473950,A2,60:36:51:f7:21:1d,1,-65
1766473951,A2,60:36:51:f7:21:1d,1,-65
1766473952,A2,60:36:51:f7:21:1d,1,-66
1766473953,A2,60:36:51:f7:21:1d,1,-66
1766473954,A2,60:36:51:f7:21:1d,1,-65
1766473955,A2,60:36:51:f7:21:1d,1,-65
1766473956,A2,60:36:51:f7:21:1d,1,-65
1766473957,A2,60:36:51:f7:21:1d,1,-65
1766473958,A2,60:36:51:f7:21:1d,1,-65
1766473959,A2,60:36:51:f7:21:1d,1,-65
1766473960,A2,60:36:51:f7:21:1d,1,-65
1766474015,A2,60:36:51:f7:21:1d,2,-73
1766474016,A2,60:36:51:f7:21:1d,2,-71
1766474017,A2,60:36:51:f7:21:1d,2,-70
